session_path,file_path,file_name,size_bytes,size_gb,size_tb,status,error,dry_run
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-08-01_804733,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\804733\2025-08-01_804733\804733_2025-08-01_15-20-32\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-25_810196,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-25_810196\810196_2025-07-25_16-24-20\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-28_810196,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-28_810196\810196_2025-07-28_19-59-05\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-29_810196,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-29_810196\810196_2025-07-29_17-02-41\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-30_810196,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-30_810196\810196_2025-07-31_08-28-08\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-31_810196,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-07-31_810196\810196_2025-07-31_14-19-46\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-08-01_810196,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\810196\2025-08-01_810196\810196_2025-08-01_16-37-27\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-10-29_809047,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-10-29_809047\809047_2025-10-29_10-16-32\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-10-30_809047,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-10-30_809047\809047_2025-10-30_10-06-43\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-10-31_809047,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-10-31_809047\809047_2025-10-31_12-00-50\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-11-01_809047,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-11-01_809047\809047_2025-11-01_17-51-59\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-11-05_809047,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-11-05_809047\809047_2025-11-05_10-13-00\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-11-06_809047,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-11-06_809047\809047_2025-11-06_11-05-31\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-10-29_803121,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-10-29_803121\803121_2025-10-29_11-19-29\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-10-30_803121,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-10-30_803121\803121_2025-10-30_11-13-32\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-10-31_803121,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-10-31_803121\803121_2025-10-31_13-05-26\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-11-01_803121,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-11-01_803121\803121_2025-11-01_19-00-21\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-11-05_803121,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-11-05_803121\803121_2025-11-05_11-16-57\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-11-06_803121,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-11-06_803121\803121_2025-11-06_12-12-23\instrument.json,instrument.json,26931,2.5081448256969452e-05,2.449360181344673e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-01-30_15-04-02,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-01-30_15-04-02\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-01_11-01-50,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-01_11-01-50\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-02_10-23-53,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-02_10-23-53\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-03_14-21-45,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-03_14-21-45\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-04_12-15-34,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-04_12-15-34\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-05_09-28-56,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-05_09-28-56\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-06_10-21-20,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-06_10-21-20\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-10_10-48-51,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-10_10-48-51\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-11_12-42-21,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-11_12-42-21\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-12_07-43-37,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-12_07-43-37\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-01-29_12-59-37,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-01-29_12-59-37\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-01-30_16-31-08,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-01-30_16-31-08\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-02_08-24-52,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-02_08-24-52\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-03_16-02-38,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-03_16-02-38\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-04_13-49-07,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-04_13-49-07\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-05_13-18-03,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-05_13-18-03\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-06_11-45-33,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-06_11-45-33\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-10_13-02-11,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-10_13-02-11\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-11_14-46-30,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-11_14-46-30\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-17_13-13-55,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-17_13-13-55\instrument.json,instrument.json,29315,2.7301721274852753e-05,2.666183718247339e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-18_11-57-04,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-18_11-57-04\instrument.json,instrument.json,29315,2.7301721274852753e-05,2.666183718247339e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-19_13-47-57,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-19_13-47-57\instrument.json,instrument.json,29315,2.7301721274852753e-05,2.666183718247339e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-21_09-23-34,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-21_09-23-34\instrument.json,instrument.json,29315,2.7301721274852753e-05,2.666183718247339e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-23_10-45-21,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-23_10-45-21\instrument.json,instrument.json,29315,2.7301721274852753e-05,2.666183718247339e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-24_14-14-45,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-24_14-14-45\instrument.json,instrument.json,29315,2.7301721274852753e-05,2.666183718247339e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-25_08-49-29,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-25_08-49-29\instrument.json,instrument.json,29315,2.7301721274852753e-05,2.666183718247339e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-26_12-40-54,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-26_12-40-54\instrument.json,instrument.json,29315,2.7301721274852753e-05,2.666183718247339e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-27_13-53-35,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-27_13-53-35\instrument.json,instrument.json,29315,2.7301721274852753e-05,2.666183718247339e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-02-13_15-22-44,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-02-13_15-22-44\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-02_10-18-42,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-02_10-18-42\instrument.json,instrument.json,29315,2.7301721274852753e-05,2.666183718247339e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-03_09-22-19,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-03_09-22-19\instrument.json,instrument.json,29315,2.7301721274852753e-05,2.666183718247339e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-07_11-28-35,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-07_11-28-35\slap2\instrument.json,instrument.json,32731,3.0483119189739227e-05,2.9768671083729714e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-08_12-21-24,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-08_12-21-24\slap2\instrument.json,instrument.json,32731,3.0483119189739227e-05,2.9768671083729714e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-09_09-07-35,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-09_09-07-35\slap2\instrument.json,instrument.json,32731,3.0483119189739227e-05,2.9768671083729714e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-02-13_15-49-00,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-02-13_15-49-00\instrument.json,instrument.json,29316,2.7302652597427368e-05,2.6662746677175164e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-02_12-40-55,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-02_12-40-55\instrument.json,instrument.json,29315,2.7301721274852753e-05,2.666183718247339e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-03_13-49-07,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-03_13-49-07\instrument.json,instrument.json,29315,2.7301721274852753e-05,2.666183718247339e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-07_13-21-42,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-07_13-21-42\slap2\instrument.json,instrument.json,32731,3.0483119189739227e-05,2.9768671083729714e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-08_14-02-23,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-08_14-02-23\slap2\instrument.json,instrument.json,32731,3.0483119189739227e-05,2.9768671083729714e-08,deleted,,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-09_11-04-01,\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-09_11-04-01\slap2\instrument.json,instrument.json,32731,3.0483119189739227e-05,2.9768671083729714e-08,deleted,,False
