session_path,n_files_matched,n_files_deleted_or_would_delete,n_errors,total_size_gb,total_size_tb,dry_run
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-10-31_803121,124,124,0,1392.0683952569962,1.3594417922431603,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-11-01_803121,124,124,0,1283.6955983266234,1.2536089827408432,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-11-05_803121,124,124,0,1384.5506104826927,1.3521002055495046,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-11-06_803121,124,124,0,1511.6806463003159,1.4762506311526522,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\2026-01-08_826031,44,44,0,245.14500617980957,0.23939942009747028,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\2026-01-08_826032,44,44,0,168.39256413280964,0.1644458634109469,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-17_13-13-55,130,130,0,1180.6929667294025,1.1530204753216822,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-18_11-57-04,0,0,0,0.0,0.0,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-19_13-47-57,130,130,0,1323.8100478202105,1.2927832498244243,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-21_09-23-34,122,122,0,1006.2109490931034,0.9826278799737338,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-23_10-45-21,130,130,0,1265.1684586703777,1.2355160729202908,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-24_14-14-45,130,130,0,1335.4721909463406,1.3041720614710357,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-25_08-49-29,130,130,0,1302.655766159296,1.2721247716399375,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-26_12-40-54,130,130,0,1427.3787887394428,1.3939245983783621,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-27_13-53-35,130,130,0,1499.7477187216282,1.46459738156409,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-02_10-18-42,130,130,0,994.9166412651539,0.9715982824855018,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-03_09-22-19,130,130,0,1289.1851903498173,1.2589699124509934,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-04_08-43-07,130,130,0,1237.365542203188,1.2083647873078007,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-05_08-11-16,130,130,0,1234.423951357603,1.2054921399976593,False
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-02_12-40-55,130,130,0,1426.1832644045353,1.392757094145054,False
