session_path,n_files_matched,n_files_deleted_or_would_delete,n_errors,total_size_gb,total_size_tb,dry_run
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-11-01_809047,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-11-05_809047,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\809047\2025-11-06_809047,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-10-06_803121,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-10-29_803121,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-10-30_803121,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-10-31_803121,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-11-01_803121,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-11-05_803121,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f\803121\2025-11-06_803121,1,1,0,2.5081448256969452e-05,2.449360181344673e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\structure_volume\803121\803121_2026-02-19_11-06-55,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\structure_volume\814591\2025-11-07_814591,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\structure_volume\814591\2026-01-13_814591_BigStacks,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\structure_volume\814593\2025-11-07_814593,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\structure_volume\814593\2026-01-13_814593_BigStacks,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\NM\825854\2026-01-12_825854,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\NM\825855\2026-01-12_825855,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\NM\824806\2026-01-08_824806,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\2026-01-08_826031,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-01-30_15-04-02,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-01_11-01-50,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-02_10-23-53,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-03_14-21-45,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-04_12-15-34,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-05_09-28-56,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-06_10-21-20,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-10_10-48-51,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-11_12-42-21,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826031\826031_2026-02-12_07-43-37,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\2026-01-08_826032,0,0,0,0.0,0.0,True
